Date,Close,NominalReturn_MSCIEAFE
1980/03,162.17,-0.1098
1980/04,176.81,0.0903
1980/05,184.34,0.0426
1980/06,195.38,0.0599
1980/07,193.69,-0.0087
1980/08,199.66,0.0308
1980/09,205.89,0.0312
1980/10,213.83,0.0386
1980/11,208.8,-0.0235
1980/12,209.13,0.0016
1981/01,205.56,-0.0171
1981/02,202.17,-0.0165
1981/03,208.78,0.0327
1981/04,213.77,0.0239
1981/05,204.12,-0.0451
1981/06,204.95,0.0041
1981/07,196.04,-0.0435
1981/08,200.07,0.0206
1981/09,179.57,-0.1025
1981/10,181.92,0.0131
1981/11,201.49,0.1076
1981/12,198.99,-0.0124
1982/01,197.04,-0.0098
1982/02,183.92,-0.0666
1982/03,174.44,-0.0515
1982/04,185.16,0.0615
1982/05,182.17,-0.0161
1982/06,167.97,-0.0779
1982/07,165.48,-0.0148
1982/08,165.04,-0.0027
1982/09,163.47,-0.0095
1982/10,163.65,0.0011
1982/11,176.16,0.0764
1982/12,189.78,0.0773
1983/01,187.65,-0.0112
1983/02,192.35,0.0250
1983/03,199.34,0.0363
1983/04,210.22,0.0546
1983/05,208.69,-0.0073
1983/06,212.96,0.0205
1983/07,212.98,0.0001
1983/08,209.11,-0.0182
1983/09,216.75,0.0365
1983/10,216.1,-0.0030
1983/11,220.76,0.0216
1983/12,229.47,0.0395
1984/01,239.26,0.0427
1984/02,240.95,0.0071
1984/03,263.09,0.0919
1984/04,258.24,-0.0184
1984/05,231.54,-0.1034
1984/06,230.79,-0.0032
1984/07,215.55,-0.0660
1984/08,233.36,0.0826
1984/09,230.86,-0.0107
1984/10,236.2,0.0231
1984/11,236.66,0.0019
1984/12,240.99,0.0183
1985/01,245.97,0.0207
1985/02,244.1,-0.0076
1985/03,262.58,0.0757
1985/04,261.21,-0.0052
1985/05,271.83,0.0407
1985/06,278.33,0.0239
1985/07,292.18,0.0498
1985/08,301.04,0.0303
1985/09,318.11,0.0567
1985/10,339.19,0.0663
1985/11,352.53,0.0393
1985/12,368.64,0.0457
1986/01,377.29,0.0235
1986/02,418.45,0.1091
1986/03,476.65,0.1391
1986/04,507.17,0.0640
1986/05,483.95,-0.0458
1986/06,516.25,0.0667
1986/07,547.36,0.0603
1986/08,600.59,0.0972
1986/09,593.68,-0.0115
1986/10,553.31,-0.0680
1986/11,584.56,0.0565
1986/12,614.89,0.0519
1987/01,679.52,0.1051
1987/02,699.19,0.0289
1987/03,755.78,0.0809
1987/04,834.98,0.1048
1987/05,834.24,-0.0009
1987/06,806.92,-0.0327
1987/07,804.78,-0.0027
1987/08,864.37,0.0740
1987/09,850.02,-0.0166
1987/10,730.11,-0.1411
1987/11,736.46,0.0087
1987/12,757.45,0.0285
1988/01,770.13,0.0167
1988/02,820.63,0.0656
1988/03,870.17,0.0604
1988/04,881.86,0.0134
1988/05,852.69,-0.0331
1988/06,829.33,-0.0274
1988/07,854.47,0.0303
1988/08,798.04,-0.0660
1988/09,832.02,0.0426
1988/10,902.29,0.0845
1988/11,955.06,0.0585
1988/12,959.4,0.0045
1989/01,975.35,0.0166
1989/02,979.41,0.0042
1989/03,959.23,-0.0206
1989/04,967.15,0.0083
1989/05,913.6,-0.0554
1989/06,897.3,-0.0178
1989/07,1008.99,0.1245
1989/08,962.66,-0.0459
1989/09,1005.5,0.0445
1989/10,964.1,-0.0412
