Date,Close,NominalReturn_LUATTRUU
1990/09,481.21,0.0096
1990/10,489.14,0.0165
1990/11,499.97,0.0221
1990/12,507.75,0.0156
1991/01,513.19,0.0107
1991/02,515.93,0.0053
1991/03,518.53,0.0050
1991/04,524.23,0.0110
1991/05,526.18,0.0037
1991/06,525.39,-0.0015
1991/07,531.54,0.0117
1991/08,543.85,0.0232
1991/09,555.31,0.0211
1991/10,560.24,0.0089
1991/11,565.85,0.0100
1991/12,585.4,0.0345
1992/01,576.03,-0.0160
1992/02,578.26,0.0039
1992/03,574.79,-0.0060
1992/04,578.39,0.0063
1992/05,589.02,0.0184
1992/06,597.55,0.0145
1992/07,612.79,0.0255
1992/08,618.59,0.0095
1992/09,627.61,0.0146
1992/10,618.39,-0.0147
1992/11,617.13,-0.0020
1992/12,627.63,0.0170
1993/01,641.1,0.0215
1993/02,653.96,0.0201
1993/03,656.13,0.0033
1993/04,661.28,0.0078
1993/05,660.47,-0.0012
1993/06,675.25,0.0224
1993/07,679.22,0.0059
1993/08,694.35,0.0223
1993/09,697.07,0.0039
1993/10,699.67,0.0037
1993/11,692,-0.0110
1993/12,694.67,0.0039
1994/01,704.24,0.0138
1994/02,689.12,-0.0215
1994/03,673.66,-0.0224
1994/04,668.39,-0.0078
1994/05,667.58,-0.0012
1994/06,666.08,-0.0022
1994/07,678.22,0.0182
1994/08,678.38,0.0002
1994/09,668.85,-0.0140
1994/10,668.43,-0.0006
1994/11,667.09,-0.0020
1994/12,671.18,0.0061
1995/01,683.6,0.0185
1995/02,698.19,0.0213
1995/03,702.58,0.0063
1995/04,711.77,0.0131
1995/05,740.55,0.0404
1995/06,746.39,0.0079
1995/07,743.62,-0.0037
1995/08,752.24,0.0116
1995/09,759.45,0.0096
1995/10,771.19,0.0155
1995/11,783.14,0.0155
1995/12,794.35,0.0143
1996/01,799.36,0.0063
1996/02,782.99,-0.0205
1996/03,776.22,-0.0086
1996/04,771.25,-0.0064
1996/05,770,-0.0016
1996/06,779.76,0.0127
1996/07,781.61,0.0024
1996/08,779.98,-0.0021
1996/09,792.8,0.0164
1996/10,810.22,0.0220
1996/11,824.26,0.0173
1996/12,815.77,-0.0103
1997/01,816.58,0.0010
1997/02,817.58,0.0012
1997/03,808.74,-0.0108
1997/04,820.35,0.0144
1997/05,827.44,0.0086
1997/06,836.68,0.0112
1997/07,860.68,0.0287
1997/08,851.96,-0.0101
1997/09,864.9,0.0152
1997/10,879.96,0.0174
1997/11,884.55,0.0052
1997/12,893.86,0.0105
1998/01,907.55,0.0153
1998/02,904.85,-0.0030
1998/03,907.32,0.0027
1998/04,911.36,0.0045
1998/05,920.83,0.0104
1998/06,931.44,0.0115
1998/07,932.9,0.0016
1998/08,958.24,0.0272
1998/09,984.95,0.0279
1998/10,981.8,-0.0032
