Date,Close,NominalReturn_FNERTR
1996/11,2274.89,0.0456
1996/12,2511.32,0.1039
1997/01,2539.38,0.0112
1997/02,2534.19,-0.002
1997/03,2528.8,-0.0021
1997/04,2459.21,-0.0275
1997/05,2531.51,0.0294
1997/06,2654.55,0.0486
1997/07,2736.55,0.0309
1997/08,2730,-0.0024
1997/09,2968.26,0.0873
1997/10,2888.03,-0.027
1997/11,2950.45,0.0216
1997/12,3020.11,0.0236
1998/01,3004.15,-0.0053
1998/02,2953.03,-0.017
1998/03,3006.02,0.0179
1998/04,2908.1,-0.0326
1998/05,2887.73,-0.007
1998/06,2868.18,-0.0068
1998/07,2681.98,-0.0649
1998/08,2428.88,-0.0944
1998/09,2566.38,0.0566
1998/10,2518.87,-0.0185
1998/11,2555.96,0.0147
1998/12,2491.53,-0.0252
1999/01,2439.47,-0.0209
1999/02,2382.18,-0.0235
1999/03,2371.43,-0.0045
1999/04,2596.46,0.0949
1999/05,2653.5,0.022
1999/06,2610.53,-0.0162
1999/07,2527.46,-0.0318
1999/08,2495.34,-0.0127
1999/09,2400.6,-0.038
1999/10,2341.56,-0.0246
1999/11,2303.47,-0.0163
1999/12,2376.42,0.0317
2000/01,2384.25,0.0033
2000/02,2355.84,-0.0119
2000/03,2433.3,0.0329
2000/04,2596.8,0.0672
2000/05,2622.34,0.0098
2000/06,2689.61,0.0257
2000/07,2924.69,0.0874
2000/08,2805.99,-0.0406
2000/09,2895.27,0.0318
2000/10,2769.93,-0.0433
2000/11,2805.5,0.0128
2000/12,3002.97,0.0704
2001/01,3034.31,0.0104
2001/02,2985.85,-0.016
2001/03,3014.83,0.0097
2001/04,3086.75,0.0239
2001/05,3161.48,0.0242
2001/06,3346.78,0.0586
2001/07,3280.3,-0.0199
2001/08,3400.25,0.0366
2001/09,3259.05,-0.0415
2001/10,3165.8,-0.0286
2001/11,3340.02,0.055
2001/12,3421.37,0.0244
2002/01,3428.08,0.002
2002/02,3494.18,0.0193
2002/03,3703.79,0.06
2002/04,3735.37,0.0085
2002/05,3785.94,0.0135
2002/06,3889.42,0.0273
2002/07,3685.98,-0.0523
2002/08,3678.77,-0.002
2002/09,3537.59,-0.0384
2002/10,3367.35,-0.0481
2002/11,3525.92,0.0471
2002/12,3552.1,0.0074
2003/01,3448.83,-0.0291
2003/02,3505.89,0.0165
2003/03,3576.08,0.02
2003/04,3733.31,0.044
2003/05,3958.77,0.0604
2003/06,4044.88,0.0218
2003/07,4261.36,0.0535
2003/08,4284.18,0.0054
2003/09,4429.85,0.034
2003/10,4509.88,0.0181
2003/11,4706.49,0.0436
2003/12,4871.12,0.035
2004/01,5081.85,0.0433
2004/02,5170.71,0.0175
2004/03,5456.47,0.0553
2004/04,4660.84,-0.1458
2004/05,4993.06,0.0713
2004/06,5139.48,0.0293
2004/07,5156.42,0.0033
2004/08,5565.66,0.0794
2004/09,5562.34,-0.0006
2004/10,5860.44,0.0536
2004/11,6112.63,0.043
2004/12,6409.3,0.0485
2005/01,5871.11,-0.084
2005/02,6051.17,0.0307
2005/03,5957.39,-0.0155
2005/04,6274.28,0.0532
2005/05,6491.75,0.0347
2005/06,6818.11,0.0503
2005/07,7304.67,0.0714
2005/08,7037.59,-0.0366
2005/09,7079.51,0.006
2005/10,6912.01,-0.0237
2005/11,7203.25,0.0421
2005/12,7188.84,-0.002
2006/01,7714.01,0.0731
2006/02,7852.02,0.0179
2006/03,8248.59,0.0505
2006/04,7942.04,-0.0372
2006/05,7715.96,-0.0285
2006/06,8117.39,0.052
2006/07,8391.19,0.0337
2006/08,8708.79,0.0378
2006/09,8869.74,0.0185
2006/10,9425.35,0.0626
2006/11,9863.5,0.0465
2006/12,9709.31,-0.0156
2007/01,10526.96,0.0842
2007/02,10291.24,-0.0224
2007/03,10045.6,-0.0239
2007/04,10043.61,-0.0002
2007/05,10048.86,0.0005
2007/06,9137.56,-0.0907
2007/07,8424.63,-0.078
2007/08,8978.24,0.0657
2007/09,9373.8,0.0441
2007/10,9478.84,0.0112
2007/11,8619.15,-0.0907
2007/12,8185.75,-0.0503
2008/01,8101.79,-0.0103
2008/02,7813.51,-0.0356
2008/03,8300.4,0.0623
2008/04,8786.74,0.0586
2008/05,8854.47,0.0077
2008/06,7891.5,-0.1088
2008/07,8165.42,0.0347
2008/08,8345.81,0.0221
2008/09,8329.68,-0.0019
2008/10,5691.82,-0.3167
2008/11,4379.55,-0.2306
2008/12,5097.46,0.1639
2009/01,4215.2,-0.1731
2009/02,3337.41,-0.2082
2009/03,3472.97,0.0406
2009/04,4550.27,0.3102
2009/05,4648.41,0.0216
2009/06,4474.92,-0.0373
2009/07,4943.57,0.1047
2009/08,5605.49,0.1339
2009/09,5963.97,0.064
2009/10,5695.33,-0.045
2009/11,6088.91,0.0691
2009/12,6524.25,0.0715
2010/01,6184.3,-0.0521
2010/02,6514.45,0.0534
2010/03,7177.91,0.1018
2010/04,7676.2,0.0694
2010/05,7250.53,-0.0555
2010/06,6886.77,-0.0502
2010/07,7542.56,0.0952
2010/08,7437.87,-0.0139
2010/09,7770.14,0.0447
2010/10,8135.44,0.047
2010/11,7976.14,-0.0196
