Date,Close,NominalReturn
1988/09,268,0.015902709
1988/10,277.4,0.038064085
1988/11,271,-0.017518556
1988/12,276.5,0.02520523
1989/01,285.4,0.033825523
1989/02,294,0.032711853
1989/03,292.7,-0.003242007
1989/04,302.3,0.03311198
1989/05,313.9,0.039657174
1989/06,323.7,0.035682691
1989/07,331.9,0.029593645
1989/08,346.6,0.049097476
1989/09,347.3,0.004931838
1989/10,347.4,0.001756558
1989/11,340.2,-0.016646033
1989/12,348.6,0.029563679
1990/01,339.97,-0.027836575
1990/02,330.45,-0.025535329
1990/03,338.46,0.02576763
1990/04,338.18,0.00427794
1990/05,350.25,0.039690706
1990/06,360.39,0.029978929
1990/07,360.03,0.001804823
1990/08,330.75,-0.082435742
1990/09,315.41,-0.046334605
1990/10,307.12,-0.02388982
1990/11,315.29,0.032636937
1990/12,328.75,0.050837787
1991/01,325.49,-0.0081585
1991/02,362.26,0.118736361
1991/03,372.28,0.032909355
1991/04,379.68,0.025064489
1991/05,377.99,-0.000694065
1991/06,378.29,0.00435241
1991/07,380.23,0.009967556
1991/08,389.4,0.026904441
1991/09,387.2,-0.004598776
1991/10,386.88,0.00275493
1991/11,385.92,-0.000293194
1991/12,388.51,0.011132078
1992/01,416.08,0.07417555
1992/02,412.56,-0.007266963
1992/03,407.36,-0.012473651
1992/04,407.41,0.00381808
1992/05,414.81,0.021707662
1992/06,408.27,-0.014272353
1992/07,415.05,0.019543635
1992/08,417.93,0.009142384
1992/09,418.48,0.003403743
1992/10,412.5,-0.012677386
1992/11,422.84,0.028626172
1992/12,435.64,0.035826753
1993/01,435.23,-0.000806789
1993/02,441.7,0.016360721
1993/03,450.16,0.020487722
1993/04,443.08,-0.013506276
1993/05,445.25,0.008498235
1993/06,448.06,0.009720085
1993/07,447.29,0.002894287
1993/08,454.13,0.017091386
1993/09,459.24,0.0136681
1993/10,463.9,0.010517057
1993/11,462.89,0.001596268
1993/12,465.95,0.011137389
1994/01,472.99,0.016662882
1994/02,471.58,-0.002082481
1994/03,463.81,-0.015513422
1994/04,447.23,-0.032820837
1994/05,450.9,0.011792717
1994/06,454.83,0.009727287
1994/07,451.4,-0.005585099
1994/08,464.24,0.029060916
1994/09,466.96,0.007915609
1994/10,463.81,-0.002941494
1994/11,461.01,-0.002812727
1994/12,455.19,-0.008041602
1995/01,465.25,0.022731169
1995/02,481.92,0.036418017
1995/03,493.15,0.024540162
1995/04,507.91,0.031279571
1995/05,523.81,0.034068263
1995/06,539.35,0.032262087
1995/07,557.37,0.037760847
1995/08,559.11,0.004667637
1995/09,578.77,0.037251306
1995/10,582.92,0.008164466
1995/11,595.53,0.026405772
1995/12,614.57,0.036665849
1996/01,614.42,-0.001953474
1996/02,649.54,0.057822015
1996/03,647.07,-0.004785024
1996/04,647.17,0.000513761
1996/05,661.23,0.023972477
1996/06,668.5,0.014413362
1996/07,644.07,-0.034167494
1996/08,662.68,0.031175492
1996/09,674.88,0.019489261
1996/10,701.46,0.040376613
1996/11,735.67,0.051216214
1996/12,743.25,0.014718778
1997/01,766.22,0.031838289
1997/02,798.39,0.042841983
1997/03,792.16,-0.006442905
1997/04,763.93,-0.033198965
1997/05,833.09,0.094707823
1997/06,876.29,0.053951953
1997/07,925.29,0.057886083
1997/08,927.24,0.003446381
1997/09,937.02,0.011192226
1997/10,951.16,0.01566364
1997/11,938.92,-0.009392283
1997/12,962.37,0.02903151
1998/01,963.36,0.001814479
1998/02,1023.74,0.063247333
1998/03,1076.83,0.052322815
1998/04,1112.2,0.033344842
1998/05,1108.42,-0.002655136
1998/06,1108.39,0.001336554
1998/07,1156.58,0.044792606
1998/08,1074.62,-0.069506399
1998/09,1020.64,-0.048910412
1998/10,1032.47,0.011669512
1998/11,1144.43,0.111026109
