Date,Open,Close,NominalReturn
1950/06,18.44,18.74,0.017049805
1950/07,18.74,17.38,-0.077261043
1950/08,17.38,18.43,0.059539173
1950/09,18.43,19.08,0.038741658
1950/10,19.08,19.87,0.042012512
1950/11,19.87,19.83,0.002989584
1950/12,19.83,19.75,-0.005068525
1951/01,19.75,21.21,0.069686042
1951/02,21.21,22,0.038461651
1951/03,22,21.63,-0.007438739
1951/04,21.63,21.92,0.026769691
1951/05,21.92,21.93,0.009875471
1951/06,21.93,21.55,-0.004328575
1951/07,21.55,21.93,0.029634992
1951/08,21.93,22.89,0.054930286
1951/09,22.89,23.48,0.02903487
1951/10,23.48,23.36,0.001601294
1951/11,23.36,22.71,-0.024506476
1951/12,22.71,23.41,0.036955485
1952/01,23.41,24.19,0.041889382
1952/02,24.19,23.75,-0.003880611
1952/03,23.75,23.81,0.009109589
1952/04,23.81,23.74,0.000186888
1952/05,23.74,23.73,0.00622822
1952/06,23.73,24.38,0.030497633
1952/07,24.38,25.08,0.028463739
1952/08,25.08,25.18,0.011343423
1952/09,25.18,24.78,-0.009191026
1952/10,24.78,24.26,-0.014576661
1952/11,24.26,25.03,0.037570714
1952/12,25.03,26.04,0.045672711
1953/01,26.04,26.18,0.01399913
1953/02,26.18,25.86,-0.003359
1953/03,25.86,25.99,0.006721023
1953/04,25.99,24.71,-0.044088933
1953/05,24.71,24.84,0.007197839
1953/06,24.84,23.95,-0.033742377
1953/07,23.95,24.29,0.019448667
1953/08,24.29,24.39,0.00585981
1953/09,24.39,23.27,-0.040446657
1953/10,23.27,23.97,0.032300151
1953/11,23.97,24.5,0.031557596
1953/12,24.5,24.83,0.019023447
1954/01,24.83,25.46,0.03119637
1954/02,25.46,26.02,0.028034167
1954/03,26.02,26.57,0.02678053
1954/04,26.57,27.63,0.049005908
1954/05,27.63,28.73,0.040945465
1954/06,28.73,28.96,0.012521808
1954/07,28.96,30.13,0.044902582
1954/08,30.13,30.73,0.023960975
1954/09,30.73,31.45,0.03093953
1954/10,31.45,32.18,0.026548946
1954/11,32.18,33.44,0.042772005
1954/12,33.44,34.97,0.052900661
1955/01,34.97,35.6,0.021079449
1955/02,35.6,36.79,0.036441338
1955/03,36.79,36.5,-0.004970708
1955/04,36.5,37.76,0.037778316
1955/05,37.76,37.6,-0.001401471
1955/06,37.6,39.78,0.060836633
1955/07,39.78,42.69,0.072149161
1955/08,42.69,42.43,-0.003270945
1955/09,42.43,44.34,0.044610802
1955/10,44.34,42.11,-0.046925584
1955/11,42.11,44.95,0.070985096
1955/12,44.95,45.37,0.016473259
1956/01,45.37,44.15,-0.023511068
1956/02,44.15,44.43,0.009862349
1956/03,44.43,47.49,0.072428763
1956/04,47.49,48.05,0.011717963
1956/05,48.05,46.54,-0.031011494
1956/06,46.54,46.27,-0.008365096
1956/07,46.27,48.78,0.051640388
1956/08,48.78,48.49,0.002369779
1956/09,48.49,46.84,-0.032866552
1956/10,46.84,46.24,-0.011356778
1956/11,46.24,45.76,-0.005344742
1956/12,45.76,46.44,0.016794499
1957/01,46.44,45.43,-0.016177996
1957/02,45.43,43.47,-0.040673308
1957/03,43.47,44.03,0.015601028
1957/04,44.03,45.05,0.025807639
1957/05,45.05,46.78,0.040917151
1957/06,46.78,47.55,0.018629964
1957/07,47.55,48.51,0.01870419
1957/08,48.51,45.84,-0.049031521
1957/09,45.84,43.98,-0.034679519
1957/10,43.98,41.24,-0.056554741
1957/11,41.24,40.35,-0.018754761
1957/12,40.35,40.33,0.005585108
1958/01,40.33,41.12,0.019087824
1958/02,41.12,41.26,0.009673327
1958/03,41.26,42.11,0.020012912
